LCSC Part,Mfr. Part #,Mfr. #,Customer#,Quantity,Target Price($),Target Lead Time,Unit Price($),Ext Price($)
C2479439,RMCF0603FT330R,SEI(Stackpole Electronics Inc.),,100,0.0024,,0.0024,0.24
C1591,CL10B104KB8NNNC,Samsung Electro-Mechanics,,100,0.0026,,0.0026,0.26
C2479067,RMCF0603FT10K0,SEI(Stackpole Electronics Inc.),,100,0.004,,0.004,0.4
C4321068,RMCF0603FT1K20,SEI(Stackpole Electronics Inc.),,100,0.0041,,0.0041,0.41
C2286,KT-0603R,Hubei KENTO Elec,,100,0.0059,,0.0059,0.59
C5381776,TP4054,JSMSEMI,,50,0.011,,0.0133,0.67
C12624,KT-0603G,Hubei KENTO Elec,,50,0.0116,,0.0116,0.58
C92487,CL10A106MO8NQNC,Samsung Electro-Mechanics,,20,0.0131,,0.0131,0.26
C3013658,XC6220B331PR-G,TOREX,,1,0.5,,0.5503,0.55
C585350,1040310811,MOLEX,,1,0.6,,0.6373,0.64
C157932,S2B-PH-K-S-GW,JST,,1,0.6,,0.6182,0.62
C3020560,USB4105-GF-A,Global Connector Technology,,1,1.04,,1.0537,1.05
C221841,PCM12SMTR,C&K,,1,1.2,,1.2005,1.2
C3013945,ESP32-S3-WROOM-1U-N16R2,ESPRESSIF,,1,4.8,,4.8568,4.86
C403729,IPEX TO SMA,DreamLNK,,1,-,,0.95,0.95
C454911,TX2400-JKD-20,ZIISOR,,1,-,,0.6811,0.68
C23186,0603WAF5101T5E,UNI-ROYAL,,100,-,,0.0011,0.11
C22775,0603WAF1000T5E,UNI-ROYAL,,100,-,,0.0011,0.11
Shipping+Handling,,,,,,,,12.97
TOTAL,,,,,,,,27.15
